Year,5min,10min,15min,30min,1h,2h,6h,12h,24h
1985,33.6,31.8,32.4,21.8,13.7,7.2,4.033333333333333,2.3333333333333335,1.2666666666666666
1986,30.0,23.400000000000002,17.6,11.8,8.6,7.3,6.133333333333333,4.691666666666666,3.529166666666667
1987,18.0,15.0,12.8,11.0,9.9,8.85,5.633333333333333,3.6,2.720833333333333
1988,24.0,19.200000000000003,16.8,10.6,6.8,5.55,4.616666666666666,3.75,2.158333333333333
1989,36.0,25.8,20.8,13.8,9.3,7.6,5.0,3.8000000000000003,2.120833333333333
1990,28.8,17.400000000000002,14.0,12.4,10.5,8.85,6.8999999999999995,4.341666666666667,3.275
1991,31.200000000000003,21.6,19.2,12.8,10.7,8.7,6.0,5.533333333333334,4.204166666666667
1992,20.400000000000002,12.0,12.4,10.6,9.1,7.65,4.3500000000000005,3.658333333333333,2.2666666666666666
1993,33.6,24.0,18.0,14.8,10.8,7.9,4.533333333333333,3.1833333333333336,2.704166666666667
1994,21.6,16.200000000000003,14.4,11.6,10.1,7.5,5.1499999999999995,3.341666666666667,2.525
1995,30.0,19.200000000000003,16.4,11.8,9.4,7.2,5.616666666666667,4.2250000000000005,3.4416666666666664
1996,52.800000000000004,41.400000000000006,39.6,31.8,21.2,12.0,7.783333333333334,4.191666666666666,2.5375
1997,37.2,21.6,17.2,13.4,10.5,7.95,6.466666666666666,4.566666666666666,2.716666666666667
1998,22.8,13.799999999999999,11.6,10.6,8.8,7.2,5.583333333333333,3.6916666666666664,2.0208333333333335
1999,24.0,15.0,14.0,12.0,10.8,8.7,5.983333333333333,4.0,2.475
2000,24.0,21.0,16.0,11.8,8.7,7.5,5.016666666666667,3.766666666666667,1.9833333333333334
2001,34.800000000000004,24.0,16.8,11.0,7.8,6.6,3.8666666666666667,3.016666666666667,1.9000000000000001
2002,52.800000000000004,28.8,19.2,11.4,9.3,7.25,5.0,3.1666666666666665,2.704166666666667
2003,27.599999999999998,25.200000000000003,22.4,16.2,8.7,5.9,4.8500000000000005,3.7916666666666665,3.025
2004,46.800000000000004,37.800000000000004,30.4,18.4,10.2,7.6,4.616666666666666,2.75,1.7083333333333333
2005,38.400000000000006,30.0,26.0,17.0,9.8,6.95,4.016666666666667,2.875,1.8208333333333335
2006,42.0,28.200000000000003,21.2,12.8,7.6,6.95,4.95,4.858333333333333,2.8125
2007,60.0,57.6,57.6,41.2,25.2,15.4,5.883333333333333,2.9416666666666664,2.220833333333333
2008,46.800000000000004,36.0,25.2,15.6,12.8,8.0,3.966666666666667,2.3333333333333335,1.2375
2009,24.0,16.8,12.4,11.0,8.9,6.25,4.533333333333333,2.9499999999999997,2.0416666666666665
2010,38.400000000000006,23.400000000000002,17.2,10.0,5.8,5.5,3.9166666666666665,2.975,2.308333333333333
2011,70.80000000000001,38.400000000000006,25.6,12.8,8.1,7.7,5.366666666666667,3.4499999999999997,2.2624999999999997
2012,28.8,25.8,22.8,17.2,13.1,8.6,3.283333333333333,2.3583333333333334,1.8375000000000001
2013,50.400000000000006,48.6,38.4,24.2,12.3,6.8,4.183333333333334,3.091666666666667,1.7458333333333333
2015,36.0,22.8,17.2,11.4,7.6,5.8,4.75,3.9416666666666664,2.283333333333333
2016,30.0,27.0,25.2,25.2,14.7,7.55,7.066666666666666,4.991666666666666,3.516666666666667
2017,31.200000000000003,29.400000000000002,19.6,12.0,9.7,7.5,5.3999999999999995,3.9916666666666667,2.1999999999999997
