Year,5min,10min,15min,30min,1h,2h,6h,12h,24h
1976,24.0,18.6,14.4,10.6,7.1,5.7,4.616666666666666,3.475,2.7083333333333335
1977,24.0,15.0,13.2,9.6,8.4,7.5,5.083333333333333,3.4499999999999997,1.9375
1978,43.2,33.0,23.6,13.8,9.7,7.0,4.7,2.858333333333333,1.8083333333333333
1979,55.199999999999996,47.400000000000006,41.2,26.4,14.7,8.05,4.8999999999999995,3.8333333333333335,2.766666666666667
1980,50.400000000000006,40.800000000000004,34.4,22.0,13.6,8.5,5.8,4.008333333333334,2.466666666666667
1981,102.0,101.39999999999999,78.0,42.2,23.2,14.75,6.516666666666667,4.858333333333333,3.716666666666667
1982,46.800000000000004,33.0,27.6,19.2,12.4,10.45,6.55,4.483333333333333,3.345833333333333
1983,45.6,41.400000000000006,34.0,27.2,19.4,11.8,5.183333333333334,3.85,2.8166666666666664
1984,49.199999999999996,34.2,26.8,14.8,10.9,8.2,4.883333333333334,4.1000000000000005,3.158333333333333
1985,36.0,22.8,18.4,11.4,7.7,6.7,4.8999999999999995,3.483333333333333,2.7708333333333335
1986,44.400000000000006,31.8,28.4,18.6,11.6,11.0,8.266666666666667,5.2,3.358333333333333
1987,27.599999999999998,19.8,16.4,10.4,7.5,6.0,4.366666666666666,3.125,2.0124999999999997
1990,48.0,37.2,30.4,17.6,9.2,6.2,4.0,3.3333333333333335,3.108333333333333
1991,43.2,38.400000000000006,28.8,18.4,12.4,8.4,7.066666666666666,5.25,3.225
1992,31.200000000000003,25.200000000000003,17.6,14.4,11.6,7.8,5.2,4.116666666666666,3.025
1993,55.199999999999996,33.6,27.2,20.0,13.6,10.8,6.133333333333333,3.35,2.3000000000000003
1994,48.0,33.6,28.0,16.0,10.0,7.7,4.933333333333334,3.216666666666667,2.2583333333333333
2014,38.400000000000006,26.400000000000002,17.6,10.8,8.8,7.6,5.533333333333334,4.116666666666666,2.5749999999999997
2015,31.200000000000003,21.6,18.4,14.8,9.6,8.3,6.866666666666667,5.066666666666666,3.3083333333333336
2016,57.6,39.6,28.8,22.0,16.6,12.4,5.3,3.9333333333333336,2.4833333333333334
2017,55.199999999999996,30.0,20.8,16.8,13.4,11.2,7.666666666666667,4.733333333333333,2.9
2018,24.0,19.200000000000003,16.8,12.0,8.4,7.5,5.6000000000000005,4.8500000000000005,3.4916666666666667
2019,43.2,34.800000000000004,29.6,18.4,11.0,8.9,6.766666666666667,4.583333333333333,3.525
2020,40.800000000000004,22.8,18.4,15.6,13.2,10.5,6.5,3.8833333333333333,2.6666666666666665
2021,36.0,22.8,19.2,12.8,9.4,7.6,6.033333333333334,4.6499999999999995,3.6750000000000003
