Name,ID,Lat,Lon,Elevelation,nyear,SimpleScaling_pvalue,GeneralScaling_pvalue
ST MALACHIE,7057518,46.55,-70.82,,24,0.007,0.951
ST MODESTE,7057574,47.85,-69.38,,11,NaN,NaN
ILES DE LA MADELEINE A,705C2G9,47.42,-61.78,,18,0.003,0.422
BAGOTVILLE A,7060400,48.33,-71.0,,45,0.001,0.151
JONQUIERE,7063370,48.43,-71.13,,12,NaN,NaN
LAC STE CROIX,7063690,48.42,-71.75,,27,0.023,0.277
MONT APICA,7065100,47.97,-71.42,,19,0.001,0.618
NORMANDIN CDA,7065640,48.85,-72.53,,29,0.017,0.086
PORTAGE DES ROCHES,7066080,48.3,-71.22,,15,0.176,0.226
ROBERVAL A,7066685,48.52,-72.27,,30,0.021,0.117
ST COEUR DE MARIE,7067060,48.63,-71.72,,27,0.009,0.695
LA BAIE,706Q001,48.3,-70.92,,13,NaN,NaN
GRANDE ANSE,7072816,47.1,-72.93,,15,0.001,0.684
LA TUQUE,7074240,47.4,-72.78,,22,0.001,0.593
ST MICHEL DES SAINTS,7077570,46.68,-73.92,,27,0.024,0.062
BARRAGE ANGLIERS,7080452,47.55,-79.23,,29,0.006,0.233
BARRAGE TEMISCAMINGUE,7080468,46.72,-79.1,,26,0.017,0.811
AMOS,7090120,48.57,-78.13,,27,0.001,0.458
CHIBOUGAMAU CHAPAIS A,7091404,49.77,-74.53,,28,0.001,0.56
LA GRANDE RIVIERE A,7093716,53.63,-77.7,,27,0.034,0.016
LA SARRE,7094120,48.78,-79.22,,17,0.091,0.167
MATAGAMI A,7094639,49.77,-77.82,,20,0.012,0.205
NITCHEQUON,7095480,53.2,-70.9,,17,0.14,0.16
RIVIERE HEVA,7096621,48.2,-78.13,,16,0.12,0.746
VAL-D'OR A,7098600,48.07,-77.78,,34,0.001,0.609
INUKJUAK UA,7103282,58.47,-78.08,,23,0.051,0.008
KUUJJUARAPIK A,7103536,55.28,-77.75,,31,0.001,0.083
KUUJJUAQ A,7113534,58.1,-68.42,,32,0.002,0.199
QUAQTAQ,7116270,61.05,-69.63,,9,NaN,NaN
SCHEFFERVILLE A,7117825,54.8,-66.82,,23,0.117,0.176
BEECHWOOD,8100512,46.53,-67.67,,10,NaN,NaN
BELLEDUNE,8100514,47.9,-65.83,,17,0.078,0.324
BOUCTOUCHE CDA CS,8100593,46.43,-64.77,,16,0.002,0.807
CHARLO AUTO,8100885,47.98,-66.33,,51,0.104,0.273
MIRAMICHI RCS,8100989,47.02,-65.47,,36,0.002,0.27
EDMUNDSTON,8101303,47.42,-68.32,,11,NaN,NaN
FREDERICTON A,8101500,45.87,-66.53,,11,NaN,NaN
FREDERICTON CDA CS,8101605,45.92,-66.62,,47,0.052,0.517
MONCTON INTL A,8103201,46.12,-64.68,,67,0.001,0.005
ROYAL ROAD,8104480,46.05,-66.72,,26,0.008,0.363
ROYAL ROAD WEST,8104482,46.08,-66.73,,12,NaN,NaN
SAINT JOHN,8104800,45.28,-66.08,,20,0.03,0.407
SAINT JOHN A,8104900,45.32,-65.88,,40,0.017,0.003
ST LEONARD A,8104928,47.17,-67.83,,29,0.003,0.975
SUMMIT DEPOT,8105100,47.78,-68.33,,17,0.001,0.124
CARIBOU POINT (AUT),8200774,45.77,-62.68,,10,NaN,NaN
EDDY POINT,8201716,45.52,-61.25,,13,NaN,NaN
GREENWOOD A,8202000,44.98,-64.92,,43,0.002,0.019
HALIFAX,8202200,44.65,-63.57,,22,0.001,0.017
HALIFAX INTL A,8202251,44.88,-63.52,,22,0.008,0.015
INGONISH BEACH,8202500,46.65,-60.4,,12,NaN,NaN
KENTVILLE CDA CS,8202810,45.07,-64.48,,35,0.004,0.619
NAPPAN AUTO,8203702,45.77,-64.23,,10,NaN,NaN
SABLE ISLAND,8204700,43.93,-60.02,,51,0.001,0.001
SHARPE BROOK IHD,8205085,45.02,-64.63,,10,NaN,NaN
SHEARWATER RCS,8205092,44.63,-63.52,,59,0.001,0.006
SHELBURNE,8205126,43.72,-65.25,,16,0.001,0.161
SYDNEY CS,8205702,46.17,-60.03,,53,0.001,0.405
TRURO,8205990,45.37,-63.27,,21,0.001,0.896
WESTERN HEAD,8206240,43.98,-64.67,,15,0.001,0.131
YARMOUTH A,8206495,43.83,-66.08,,43,0.001,0.009
CHARLOTTETOWN A,8300301,46.28,-63.12,,31,0.001,0.117
SUMMERSIDE,8300596,46.43,-63.83,,37,0.001,0.014
HARRINGTON CDA CS,830P001,46.33,-63.17,,16,0.001,0.621
ARGENTIA (AUT),8400104,47.28,-53.98,,17,0.001,0.86
BURGEO NL,8400801,47.62,-57.62,,34,0.001,0.155
COMFORT COVE,8401259,49.27,-54.88,,27,0.029,0.301
DANIELS HARBOUR,8401400,50.23,-57.58,,26,0.311,0.593
DEER LAKE A,8401501,49.22,-57.4,,36,0.002,0.001
GANDER AIRPORT CS,8401705,48.95,-54.57,,70,0.011,0.547
LA SCIE,8402520,49.92,-55.67,,11,NaN,NaN
PORT AUX BASQUES,8402975,47.57,-59.15,,19,0.003,0.276
ST ALBANS,8403290,47.87,-55.85,,14,NaN,NaN
ST ANTHONY,8403401,51.37,-55.6,,23,0.002,0.098
ST JOHN'S A,8403506,47.62,-52.73,,34,0.003,0.018
ST LAWRENCE,8403619,46.92,-55.38,,35,0.001,0.017
STEPHENVILLE RCS,8403820,48.57,-58.57,,48,0.002,0.025
TWILLINGATE (AUT),8404025,49.68,-54.8,,10,NaN,NaN
BATTLE HARBOUR LOR,8500398,52.25,-55.6,,11,NaN,NaN
CHURCHILL FALLS A,8501132,53.55,-64.1,,23,0.805,0.836
GOOSE A,8501900,53.32,-60.42,,53,0.267,0.38
MARY'S HARBOUR A,8502591,52.3,-55.83,,12,NaN,NaN
NAIN,8502799,56.55,-61.68,,18,0.142,0.809
WABUSH LAKE A,8504175,52.93,-66.87,,25,0.07,0.641
