Name,ID,Lat,Lon,Elevelation,nyear,SimpleScaling_pvalue,GeneralScaling_pvalue
WINNIPEG STP,5023261,49.95,-97.1,,19,0.001,0.716
WINNIPEG THE FORKS,5023262,49.88,-97.13,,27,0.001,0.849
WINNIPEG A CS,502S001,49.92,-97.25,,57,0.001,0.49
BERENS RIVER A,5030202,52.37,-97.02,,13,NaN,NaN
BISSETT,5030282,51.03,-95.7,,16,0.002,0.34
GIMLI,5031038,50.63,-97.02,,28,0.001,0.852
GRAND RAPIDS HYDRO,5031111,53.17,-99.28,,13,NaN,NaN
INDIAN BAY,5031320,49.62,-95.2,,26,0.001,0.969
DAUPHIN CS,5040681,51.1,-100.07,,40,0.001,0.108
NEEPAWA WATER,5042005,50.22,-99.47,,19,0.024,0.788
FLIN FLON,5050919,54.68,-101.68,,41,0.009,0.147
THE PAS CLIMATE,5052890,53.97,-101.1,,39,0.005,0.085
CHURCHILL CLIMATE,5060608,58.73,-94.07,,39,0.017,0.002
GILLAM,5060999,56.37,-94.7,,34,0.001,0.004
ISLAND LAKE A,5061376,53.85,-94.65,,36,0.036,0.278
LYNN LAKE A,5061646,56.87,-101.08,,34,0.014,0.36
THOMPSON A,5062921,55.8,-97.87,,43,0.002,0.711
NORWAY HOUSE FORESTRY,506B0M7,54.0,-97.8,,22,0.004,0.021
BIG TROUT LAKE,6010738,53.83,-89.87,,25,0.057,0.326
EAR FALLS (AUT),6012199,50.63,-93.22,,50,0.001,0.335
LANSDOWNE HOUSE (AUT),6014353,52.2,-87.93,,26,0.008,0.745
PICKLE LAKE (AUT),6016525,51.45,-90.22,,41,0.007,0.852
RED LAKE A,6016975,51.07,-93.78,,26,0.001,0.986
ATIKOKAN (AUT),6020LPQ,48.77,-91.63,,25,0.001,0.495
KENORA RCS,6034073,49.78,-94.38,,44,0.001,0.51
RAWSON LAKE (AUT),6036907,49.67,-93.73,,26,0.004,0.375
SIOUX LOOKOUT A,6037775,50.12,-91.9,,40,0.001,0.509
ARMSTRONG (AUT),6040325,50.28,-88.92,,14,NaN,NaN
CAMERON FALLS (AUT),6041110,49.15,-88.33,,10,NaN,NaN
CARIBOU ISLAND,6041221,47.33,-85.83,,22,0.001,0.078
GERALDTON A,6042716,49.78,-86.93,,50,0.001,0.692
PUKASKWA NATL PARK,6046770,48.6,-86.3,,21,0.003,0.575
SLATE ISLAND,6047810,48.62,-87.0,,20,0.001,0.389
THUNDER BAY CS,6048268,48.37,-89.33,,53,0.001,0.632
ELLIOT LAKE A,6052259,46.35,-82.57,,11,NaN,NaN
MISSISSAGI ONT HYDRO,6055210,46.43,-83.38,,22,0.002,0.583
RAYNER,6056907,46.33,-83.5,,16,0.357,0.484
SAULT STE MARIE A,6057592,46.48,-84.52,,46,0.001,0.911
WAWA (AUT),6059408,47.97,-84.78,,22,0.001,0.76
WHITE RIVER,6059475,48.6,-85.28,,21,0.002,0.299
CHAPLEAU A,6061361,47.82,-83.35,,27,0.001,0.072
SUDBURY A,6068150,46.63,-80.8,,36,0.001,0.66
SUDBURY SCIENCE NORTH,6068158,46.47,-81.0,,8,NaN,NaN
DYMOND ONT HYDRO,6072183,47.52,-79.68,,13,NaN,NaN
KAPUSKASING CDA ON,6073980,49.42,-82.43,,42,0.001,0.307
KIRKLAND LAKE CS,6074211,48.15,-80.0,,33,0.001,0.015
MOOSONEE RCS,6075435,51.28,-80.62,,31,0.428,0.027
PINARD,6076540,49.85,-81.6,,24,0.144,0.492
TIMMINS VICTOR POWER A,6078285,48.57,-81.38,,48,0.001,0.729
UPPER NOTCH,6079068,47.25,-79.58,,16,0.222,0.997
LA CAVE,6084278,46.37,-78.73,,10,NaN,NaN
LAKE TRAVERSE,6084307,45.95,-78.07,,13,NaN,NaN
NORTH BAY A,6085700,46.37,-79.42,,41,0.001,0.591
GREAT DUCK ISLAND,6093004,45.65,-82.97,,18,0.001,0.313
BARK LAKE DAM,6100493,45.42,-77.8,,14,NaN,NaN
BROCKVILLE PCC,6100971,44.6,-75.67,,35,0.001,0.741
COMBERMERE,6101820,45.37,-77.62,,20,0.001,0.21
CORNWALL,6101874,45.02,-74.75,,15,0.002,0.459
CORNWALL ONT HYDRO,6101901,45.03,-74.8,,33,0.001,0.414
KEMPTVILLE CS,6104027,45.0,-75.63,,34,0.198,0.081
KINGSTON CLIMATE,6104142,44.22,-76.6,,26,0.001,0.926
KINGSTON PUMPING STATION,6104175,44.23,-76.48,,63,0.001,0.178
OTTAWA CDA RCS,6105978,45.38,-75.72,,54,0.001,0.349
OTTAWA MACDONALD-CARTIER INT'L A,6106000,45.32,-75.67,,39,0.001,0.645
PETAWAWA NAT FORESTRY,6106400,45.98,-77.43,,33,0.003,0.989
SMITHS FALLS TS,6107836,44.88,-76.0,,21,0.041,0.691
BARRIE WPCC,6110557,44.38,-79.68,,25,0.001,0.975
BEAUSOLEIL,6110617,44.85,-79.87,,24,0.001,0.22
COLLINGWOOD,6111792,44.5,-80.22,,21,0.001,0.69
DORSET MOE,6112072,45.22,-78.93,,11,NaN,NaN
ORILLIA BRAIN,6115811,44.6,-79.43,,35,0.001,0.302
OWEN SOUND MOE,6116132,44.58,-80.93,,36,0.001,0.388
PARRY SOUND CCG,6116257,45.33,-80.03,,13,NaN,NaN
RAGGED RAPIDS,6116843,45.02,-79.68,,14,NaN,NaN
BARRIE-ORO,6117700,44.48,-79.55,,13,NaN,NaN
UTTERSON ONT HYDRO,6119115,45.2,-79.35,,9,NaN,NaN
WIARTON A,6119500,44.75,-81.12,,32,0.001,0.976
EGBERT CS,611E001,44.23,-79.78,,22,0.002,0.383
COVE ISLAND,6121912,45.33,-81.73,,17,0.003,0.515
CYPRUS LAKE CS,6121940,45.23,-81.53,,13,NaN,NaN
GODERICH,6122847,43.77,-81.72,,31,0.001,0.502
SARNIA CLIMATE,6127519,43.0,-82.3,,49,0.001,0.579
CHATHAM WPCP,6131415,42.38,-82.22,,40,0.001,0.669
DELHI CS,6131983,42.87,-80.55,,50,0.001,0.974
HARROW CDA AUTO,6133362,42.03,-82.9,,28,0.001,0.874
LONG POINT,6134610,42.55,-80.05,,16,0.002,0.545
NIAGARA FALLS,6135638,43.13,-79.08,,26,0.001,0.966
PORT COLBORNE,6136606,42.88,-79.25,,37,0.001,0.003
PORT WELLER (AUT),6136699,43.25,-79.22,,8,NaN,NaN
RIDGETOWN RCS,6137154,42.45,-81.88,,38,0.001,0.851
ST CATHARINES A,6137287,43.2,-79.17,,33,0.001,0.783
ST THOMAS WPCP,6137362,42.77,-81.22,,74,0.001,0.023
SIMCOE,6137730,42.85,-80.27,,23,0.002,0.838
VINELAND STATION RCS,6139148,43.18,-79.4,,25,0.001,0.273
WELLAND-PELHAM,6139449,42.97,-79.33,,10,NaN,NaN
WINDSOR A,6139525,42.28,-82.97,,60,0.001,0.754
WINDSOR UNIVERSITY,6139538,42.3,-83.07,,12,NaN,NaN
POINT PELEE CS,613P001,41.95,-82.52,,22,0.001,0.831
BLUE SPRINGS CREEK,6140818,43.63,-80.12,,11,NaN,NaN
BRANTFORD MOE,6140954,43.13,-80.23,,36,0.001,0.236
CAMBRIDGE GALT MOE,6141095,43.33,-80.32,,15,0.073,0.959
ELORA RCS,6142286,43.65,-80.42,,39,0.001,0.861
FERGUS SHAND DAM,6142400,43.73,-80.33,,35,0.001,0.326
GLEN ALLAN,6142803,43.68,-80.72,,0,NaN,NaN
GRAND VALLEY WPCP,6142991,43.88,-80.33,,14,NaN,NaN
GUELPH SMALLFIELD FARM,6143087,43.53,-80.3,,11,NaN,NaN
GUELPH TURFGRASS,6143089,43.55,-80.22,,51,0.001,0.655
KITCHENER CITY ENG 2,6144241,43.45,-80.48,,0,NaN,NaN
LONDON CS,6144478,43.03,-81.15,,65,0.001,0.448
MOUNT FOREST (AUT),6145504,43.98,-80.75,,38,0.001,0.051
PRESTON WPCP,6146714,43.38,-80.35,,22,0.002,0.636
PROSPECT HILL,6146745,43.22,-81.23,,0,NaN,NaN
STRATFORD WWTP,6148105,43.37,-81.0,,35,0.001,0.001
WATERLOO WELLINGTON A,6149387,43.45,-80.38,,33,0.001,0.829
WOODSTOCK,6149625,43.13,-80.77,,19,0.001,0.932
BELLEVILLE,6150689,44.15,-77.38,,36,0.001,0.819
BOWMANVILLE MOSTERT,6150830,43.92,-78.67,,31,0.001,0.432
BURKETON MCLAUGHLIN,6151042,44.03,-78.8,,31,0.001,0.184
BURLINGTON FIRE HQ'S,6151059,43.35,-79.82,,9,NaN,NaN
CAMPBELLFORD,6151137,44.3,-77.8,,24,0.002,0.311
COBOURG (AUT),6151684,43.95,-78.17,,9,NaN,NaN
GREENWOOD MTRCA,6153020,43.9,-79.07,,19,0.001,0.673
HAMILTON A,6153194,43.17,-79.93,,33,0.001,0.26
HAMILTON RBG CS,6153301,43.28,-79.92,,51,0.001,0.702
HEART LAKE,6153410,43.73,-79.78,,0,NaN,NaN
MAIN DUCK ISLAND,6154820,43.93,-76.63,,21,0.001,0.089
MAPLE,6154950,43.87,-79.48,,0,NaN,NaN
MILTON KELSO,6155187,43.5,-79.95,,0,NaN,NaN
OAK RIDGES,6155722,43.97,-79.47,,17,0.002,0.982
ORANGEVILLE MOE,6155790,43.92,-80.08,,9,NaN,NaN
OSHAWA WPCP,6155878,43.87,-78.83,,31,0.001,0.451
PICTON,6156533,44.02,-77.13,,26,0.002,0.151
SMITHFIELD CDA,6157831,44.08,-77.67,,8,NaN,NaN
STOUFFVILLE WPCP,6158084,43.97,-79.25,,5,NaN,NaN
TORONTO CITY,6158355,43.67,-79.4,,67,0.001,0.638
TORONTO BOOTH,6158406,43.65,-79.35,,26,0.001,0.416
TORONTO ELLESMERE,6158520,43.77,-79.27,,24,0.001,0.751
TORONTO ETOBICOKE,6158525,43.63,-79.53,,12,NaN,NaN
TORONTO GREENWOOD,6158575,43.67,-79.32,,16,0.001,0.839
TORONTO ISLAND A,6158665,43.63,-79.38,,24,0.001,0.985
TORONTO INTL A,6158731,43.68,-79.63,,64,0.001,0.869
TORONTO LESLIE EGLINTON,6158732,43.72,-79.35,,10,NaN,NaN
TORONTO MET RES STN,6158740,43.8,-79.55,,16,0.002,0.868
TORONTO OLD WESTON RD,6158764,43.65,-79.47,,22,0.001,0.575
TORONTO SENECA HILL,61587PG,43.78,-79.35,,11,NaN,NaN
TRENTON A,6158875,44.12,-77.53,,46,0.001,0.083
TWEED,6159010,44.5,-77.28,,0,NaN,NaN
WILCOX LAKE,6159510,43.95,-79.43,,0,NaN,NaN
TORONTO YORK MILLS,615HHDF,43.75,-79.38,,12,NaN,NaN
TORONTO BUTTONVILLE A,615HMAK,43.87,-79.37,,20,0.007,0.039
OAKVILLE SOUTHEAST WPCP,615N745,43.48,-79.63,,12,NaN,NaN
TORONTO NORTH YORK,615S001,43.78,-79.47,,29,0.001,0.533
HALIBURTON 3,6163171,45.03,-78.53,,14,NaN,NaN
LINDSAY FILTRATION PLANT,6164432,44.35,-78.73,,24,0.001,0.701
PETERBOROUGH A,6166418,44.23,-78.37,,33,0.001,0.774
PETERBOROUGH STP,6166450,44.28,-78.32,,28,0.001,0.404
PETERBOROUGH TRENT U,6166456,44.35,-78.3,,10,NaN,NaN
WEST GUILFORD,6169453,45.1,-78.68,,16,0.001,0.704
BEAUPORT,7010565,46.83,-71.2,,10,NaN,NaN
CHARLESBOURG PARC ORLEAN,7011309,46.87,-71.27,,22,0.001,0.429
DESCHAMBAULT,7011982,46.67,-71.92,,23,0.002,0.414
DUBERGER,7012232,46.82,-71.3,,4,NaN,NaN
DUCHESNAY,7012240,46.87,-71.65,,20,0.01,0.086
JOLIETTE VILLE,7013362,46.02,-73.43,,21,0.001,0.488
L'ASSOMPTION,7014160,45.82,-73.43,,45,0.001,0.014
OKA,7015730,45.5,-74.07,,24,0.018,0.091
QUEBEC,7016280,46.8,-71.22,,30,0.022,0.123
ST ALBAN,7016800,46.72,-72.08,,24,0.001,0.057
ST AUGUSTIN,7016900,46.73,-71.5,,24,0.001,0.246
STE BEATRIX,7016902,46.2,-73.6,,16,0.01,0.895
ST BENOIT,7016906,45.57,-74.05,,15,0.001,0.19
STE CATHERINE,7016932,46.85,-71.62,,22,0.001,0.753
ST DONAT,7017100,46.32,-74.2,,22,0.077,0.031
STE FOY MATAPEDIA,7017B65,46.75,-71.28,,2,NaN,NaN
STE FOY (PIE XII),7017BFN,46.78,-71.32,,9,NaN,NaN
SHAWINIGAN,7018001,46.57,-72.73,,41,0.001,0.754
COURVILLE DE POISSY,701A9E0,46.88,-71.17,,4,NaN,NaN
TROIS RIVIERES AQUEDUC,701HE63,46.38,-72.62,,16,0.001,0.675
QUEBEC JEAN LESAGE INTL,701S001,46.8,-71.38,,46,0.001,0.078
ARTHABASKA,7020305,46.02,-71.95,,29,0.002,0.069
ASBESTOS,7020360,45.77,-71.95,,5,NaN,NaN
BROME,7020840,45.18,-72.57,,26,0.001,0.398
CHARTIERVILLE,7021320,45.28,-71.2,,21,0.001,0.531
DANVILLE,7021954,45.82,-71.98,,11,NaN,NaN
DRUMMONDVILLE,7022160,45.88,-72.48,,24,0.001,0.02
FORTIERVILLE,7022494,46.48,-72.05,,22,0.001,0.663
GEORGEVILLE,7022720,45.13,-72.23,,29,0.001,0.051
GRANBY,7022800,45.38,-72.72,,28,0.001,0.63
ISLAND BROOK,7023312,45.38,-71.47,,14,NaN,NaN
LAC MEGANTIC 2,7023677,45.6,-70.87,,29,0.002,0.064
LAUZON,7024254,46.82,-71.1,,17,0.001,0.419
LENNOXVILLE,7024280,45.37,-71.82,,45,0.001,0.92
LINGWICK,7024320,45.63,-71.37,,30,0.003,0.023
MAPLE LEAF EAST,7024624,45.33,-71.4,,16,0.001,0.393
MONT MEGANTIC,7025212,45.45,-71.15,,11,NaN,NaN
