Year,5min,10min,15min,30min,1h,2h,6h,12h,24h
1958,36,27.599999999999998,19.2,17.2,10.7,6.5,5.8500000000000005,4.9750000000000005,3.2083333333333335
1959,30,19.8,19.2,15.2,9.4,6.85,5.25,4.341666666666667,2.3583333333333334
1960,30,19.8,16.4,10.6,8.6,7,3.6333333333333333,2.858333333333333,2.033333333333333
1961,39.6,27.599999999999998,25.2,19.4,18.3,10.4,5.116666666666666,3.3249999999999997,2.7624999999999997
1962,36,27.599999999999998,21.2,17.8,10.2,9.15,4.733333333333333,4.258333333333334,2.975
1963,39.6,28.8,27.6,19.8,10.7,5.85,3.983333333333333,2.966666666666667,2.475
1964,57.6,51.6,52,29,14.7,7.5,4.316666666666666,3.408333333333333,2.4875000000000003
1965,18,15,12,8.2,6.3,5.95,3.466666666666667,2.5166666666666666,1.7583333333333335
1966,27.599999999999998,22.8,17.2,10.2,8.4,4.85,3.766666666666667,3.6,2.2875
1967,21.6,16.8,14.4,10.6,8.9,7,4.533333333333333,3.4916666666666667,2.6458333333333335
1968,43.2,41.400000000000006,33.6,20.8,11.9,7,5.883333333333333,5.016666666666667,4.1375
1969,36,31.8,25.2,14.8,10.9,6.5,3.35,2.1999999999999997,1.8625
1970,55.199999999999996,47.400000000000006,35.6,20.8,10.9,6.1,3.6,2.183333333333333,1.4083333333333332
1971,30,24.599999999999998,22.4,12.6,7.4,6.35,4.233333333333333,3.216666666666667,2.2125
1972,18,13.799999999999999,11.2,9.6,8.6,8.4,7.2,6.075,4.741666666666666
1973,21.6,15,13.2,9.2,7.6,6.35,4.733333333333333,3.533333333333333,2.0541666666666667
1974,21.6,19.8,18.4,12.2,8.9,6.35,3.9333333333333336,3.6999999999999997,2.5500000000000003
1975,33.6,25.8,23.2,13.8,8.4,7.1,4.616666666666666,3.6,3.1125000000000003
1976,36,36.6,25.2,12.6,8.4,6.75,4.3999999999999995,4.3,2.6999999999999997
1977,21.6,13.799999999999999,12,9.6,7.6,6.35,4.566666666666666,3.4250000000000003,1.7874999999999999
1978,32.400000000000006,22.200000000000003,20.8,15.6,12.1,9.85,4.1499999999999995,2.6999999999999997,1.6125
1979,90,55.199999999999996,39.2,22.6,17.7,8.85,6.333333333333333,5.3,3.6999999999999997
1980,52.800000000000004,36,29.6,26.8,15.2,7.8,4.95,3.8083333333333336,2.066666666666667
1981,81.60000000000001,45.6,31.2,18.4,17.9,11.85,4.833333333333333,3.4166666666666665,1.9749999999999999
1982,24,18,16,9.8,7.8,5.7,3.8666666666666667,3.4916666666666667,2.766666666666667
1983,39.6,19.8,13.2,12.2,7.5,6.7,4.733333333333333,3.4583333333333335,2.3000000000000003
1984,30,22.8,18.8,13.2,8.7,7.3,4.866666666666666,2.9333333333333336,2.095833333333333
1985,26.400000000000002,21.6,20.4,14.2,7.9,5.15,3.5500000000000003,2.716666666666667,1.8666666666666665
1986,66,35.400000000000006,24.8,16.2,12.7,7.8,5.55,3.725,2.3958333333333335
1987,20.400000000000002,16.200000000000003,14,10.8,7.3,5.75,3.283333333333333,2.216666666666667,1.7708333333333333
1988,33.6,18,15.2,10.6,8.3,5.55,4.216666666666667,3.4166666666666665,1.8458333333333332
1989,43.2,34.2,28.4,21,12.7,7.25,4.783333333333333,2.875,2.6166666666666667
1990,25.200000000000003,19.200000000000003,16.4,10.4,7.1,5.6,3.9,2.8249999999999997,1.9291666666666665
